RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
536,7405435548,44,Female,North west,I generally do not follow basketball, , , , , , ,Very likely,Somewhat likely,I support a different football club and therefore would be less interested,Moderately increase my interest,Because it gives me a reason to care about basketball,No,No,Yes,Yes,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,No,Yes,No,No,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Unaware, ,0.920240964
537,7397098580,62,Male,North west,"I follow basketball regularly, but it's secondary",No,Yes,No,No,No,No,Somewhat unlikely,Somewhat likely, ,Moderately increase my interest, ,No,Yes,No,Yes,No,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,Yes,No,No,No,No,No,No,No,Inter Milan Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.023529412
538,7405606128,42,Male,North west,"I follow basketball regularly, but it's secondary",Yes,No,Yes,No,No,No,Very likely,Very likely, ,Significantly increase my interest, ,Yes,Yes,Yes,Yes,Yes,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
539,7401014750,60,Female,North west,I generally do not follow basketball, , , , , , ,Very likely,Somewhat likely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Other Serie A Fan,55+,"25-49,999€",Milan,Unaware, ,0.993939394
540,7403970302,48,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Inter Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,0.966666667
541,7405705348,66,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Very unlikely,I don't like football branding in basketball,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Inter Milan Fan,55+, ,Milan,Unaware, ,0.966666667
542,7405671740,48,Male,North west,Basketball is one of my top sports,Yes,Yes,Yes,Yes,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,No,Yes,No,No,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
543,7406667354,68,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,No,No,No,No,No,No,AC Milan Fan,55+,"25-49,999€",Milan,Unaware, ,0.920240964
544,7405543098,82,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Inter Milan Fan,55+,"25-49,999€",Milan,Unaware, ,1.023529412
545,7405606148,56,Female,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,5.000€ to 9.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"0-24,999€",Milan,Overall Interested,Non Watcher,0.966666667
546,7405945146,45,Male,North west,Basketball is one of my top sports,Yes,Yes,Yes,Yes,Yes,No,Somewhat likely,Very likely, ,Significantly increase my interest, ,Yes,Yes,Yes,Yes,Yes,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
547,7403424818,40,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,Yes,No,Yes,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,0.920240964
548,7405705318,60,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Milano,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
549,7405671736,38,Male,North west,I watch basketball occasionally,Yes,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,Yes,Yes,Yes,Yes,Yes,No,Attend a game in person,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,150.000€ and over,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
550,7403550716,67,Male,North west,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,10.000€ to 14.999€ per year,Milano,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Inter Milan Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,1.023529412
551,7406843976,52,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat likely, ,Slightly increase my interest,Other/not sure,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,Yes,No,No,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Unaware, ,1.056101695
552,7404127370,56,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,Yes,No,No,No,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Unaware, ,0.993939394
553,7405705366,64,Male,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Non Watcher,1.023529412
554,7405543082,39,Male,North west,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,No,No,Somewhat likely,Somewhat unlikely,I support a different football club and therefore would be less interested,Slightly increase my interest, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Other Serie A Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,1.004081633
555,7405543056,75,Male,North west,I watch basketball occasionally,No,No,Yes,Yes,No,No,Very likely,Neither likely nor unlikely,I don't like football branding in basketball,Moderately increase my interest,Because I trust and follow AC Milan,Yes,Yes,Yes,Yes,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,AC Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
556,7405796994,39,Male,North west,I watch basketball occasionally,No,Yes,Yes,No,No,No,Somewhat likely,Very likely, ,Significantly increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,Because it is affiliated with AC Milan,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
557,7405895784,61,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Unaware, ,0.993939394
558,7405750428,49,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,Yes,No,No,Inter Milan Fan,35-54, ,Milan,Unaware, ,0.966666667
559,7404890648,56,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,5.000€ to 9.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,1.011180124
560,7403553182,64,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat unlikely,I support a different football club and therefore would be less interested,Decrease my interest, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Unaware, ,1.023529412
561,7403868202,77,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,Yes,No,No,No,Yes,No,AC Milan Fan,55+,"0-24,999€",Milan,Unaware, ,1.056101695
562,7405543072,48,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,under 5.000€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,AC Milan Fan,35-54,"0-24,999€",Milan,Unaware, ,1.056101695
563,7405674692,48,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Inter Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,1.023529412
564,7405638802,52,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Unaware, ,0.993939394
565,7407150432,63,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because I trust and follow AC Milan,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,AC Milan Fan,55+,"25-49,999€",Milan,Unaware, ,0.920240964
566,7405543106,57,Male,North west,I watch basketball occasionally,No,No,No,No,Yes,No,Somewhat likely,Somewhat likely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.023529412
567,7405705356,55,Female,North west,I watch basketball occasionally,No,No,No,Yes,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,0.966666667
568,7405474314,64,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,10.000€ to 14.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"0-24,999€",Milan,Unaware, ,1.023529412
569,7405895798,32,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Inter Milan Fan,18-34,"25-49,999€",Milan,Unaware, ,1.023529412
570,7403603010,54,Male,North west,I watch basketball occasionally,Yes,Yes,No,No,No,No,Neither likely nor unlikely,Very likely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,Yes,Yes,Yes,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
